Cod.registro;ID do cliente;Nome do cliente;Sexo;Estado civil;Renda mensal (R$);Tipo da transação;data
t1414;14;Pedro Araújo;Masculino;Viúvo(a);8644,22;pix;25/11/2024
t1415;15;Maria Silva;Feminino;Divorciado(a);5514,13;pix;22/10/2024
t1416;16;Carlos Santos;Masculino;Casado(a);1324,58;pix;11/08/2024
t1417;17;Camila Nascimento;Masculino;Divorciado(a);2664,98;saque;04/08/2024
t1418;18;Beatriz Lima;Feminino;Casado(a);3189,75;pix;11/12/2024
t1419;19;Ricardo Silva;Masculino;Viúvo(a);3421,08;pix;30/07/2024
t1420;20;Ricardo Oliveira;Masculino;Casado(a);5586,92;saque;09/12/2024
t1421;21;Maria Nascimento;Feminino;Divorciado(a);4777,23;pix;04/10/2024
t1422;22;Beatriz Santos;Feminino;Viúvo(a);8920,4;pix;16/10/2024
t1423;23;Camila Santos;Feminino;Divorciado(a);4135,44;pix;15/12/2024
t1424;24;Beatriz Costa;Feminino;Divorciado(a);6425,75;pix;17/08/2024
t1425;25;Camila Araújo;Feminino;Divorciado(a);1446,38;saque;18/07/2024
t1426;26;Ana Pereira;Feminino;Solteiro(a);5898,85;pix;27/08/2024
t1427;27;Ana Lima;Feminino;Casado(a);9045,74;saque;10/10/2024
t1428;28;Carlos Araújo;Masculino;Divorciado(a);9133,82;saque;31/12/2024
t1429;29;Ricardo Nascimento;Masculino;Viúvo(a);3249,69;pix;03/11/2024
t1430;30;João Lima;Masculino;Solteiro(a);9251,39;saque;22/10/2024
t1431;31;Fernanda Santos;Feminino;Solteiro(a);9062,56;pix;31/08/2024
t1432;32;Ricardo Lima;Masculino;Solteiro(a);4124,23;saque;11/11/2024
t1433;33;João Silva;Masculino;Divorciado(a);4977,08;pix;18/09/2024
t1434;34;João Oliveira;Masculino;Solteiro(a);5256,48;saque;13/08/2024
t1435;35;João Almeida;Masculino;Solteiro(a);8222,99;pix;29/09/2024
t1436;36;Paulo Silva;Masculino;Casado(a);8762,13;pix;24/12/2024
t1437;37;Paulo Nascimento;Masculino;Casado(a);1335,42;pix;24/12/2024
t1438;38;Maria Almeida;Feminino;Casado(a);3826,69;pix;31/12/2024
t1439;39;Fernanda Costa;Feminino;Divorciado(a);2204,7;pix;15/07/2024
t1440;40;Beatriz Souza;Feminino;Viúvo(a);6904,35;pix;31/12/2024
t1441;41;João Nascimento;Masculino;Viúvo(a);1235,29;pix;05/12/2024
t1442;42;Paulo Almeida;Masculino;Solteiro(a);5970,13;pix;22/07/2024
t1443;43;Maria Lima;Feminino;Casado(a);3563,85;saque;18/07/2024
t1444;44;Pedro Costa;Masculino;Casado(a);4806,37;saque;15/10/2024
t1445;45;João Araújo;Masculino;Solteiro(a);2403,54;saque;16/12/2024
t1446;46;João Costa;Masculino;Viúvo(a);2885,35;pix;10/09/2024
t1447;47;Carlos Nascimento;Masculino;Divorciado(a);4353,97;pix;07/09/2024
t1448;48;Ana Oliveira;Feminino;Solteiro(a);7390,72;saque;22/11/2024
t1449;49;Carlos Oliveira;Masculino;Casado(a);3082,95;pix;17/11/2024
t1450;50;Paulo Pereira;Masculino;Viúvo(a);6501,81;saque;05/09/2024
t1451;51;Maria Souza;Masculino;Divorciado(a);6640,12;saque;11/10/2024
t1452;52;Maria Pereira;Masculino;Viúvo(a);1251,33;pix;04/11/2024
t1453;53;Camila Pereira;Feminino;Viúvo(a);9997,24;saque;01/08/2024
t1454;54;Pedro Pereira;Masculino;Viúvo(a);5654,41;pix;28/09/2024
t1455;55;Ana Araújo;Feminino;Solteiro(a);2242,64;pix;17/08/2024
t1456;56;Ana Souza;Feminino;Divorciado(a);7224,18;saque;13/09/2024
t1457;57;Pedro Santos;Masculino;Solteiro(a);4162,47;pix;01/11/2024
t1458;58;Ana Nascimento;Feminino;Viúvo(a);1696,57;pix;13/09/2024
t1459;59;Paulo Souza;Masculino;Solteiro(a);4626,61;pix;07/08/2024
t1460;60;Pedro Almeida;Masculino;Viúvo(a);2511,08;pix;28/08/2024
t1461;61;Pedro Silva;Masculino;Viúvo(a);4856,81;saque;19/11/2024
t1462;62;Ricardo Araújo;Masculino;Casado(a);7862,92;saque;08/07/2024
t1463;63;João Souza;Masculino;Casado(a);8710,4;pix;16/07/2024
t1464;64;Beatriz Araújo;Feminino;Viúvo(a);9982,73;pix;26/12/2024
t1465;65;Paulo Oliveira;Masculino;Divorciado(a);4910,57;pix;19/12/2024
t1466;66;Ricardo Pereira;Masculino;Divorciado(a);8061,68;pix;11/09/2024
t1467;67;Maria Santos;Feminino;Casado(a);7073,73;pix;12/10/2024
t1468;68;Ricardo Santos;Masculino;Solteiro(a);2091,16;saque;13/09/2024
t1469;69;Beatriz Almeida;Feminino;Divorciado(a);2295,74;pix;28/08/2024
t1470;70;Camila Silva;Feminino;Casado(a);9404,2;saque;12/07/2024
t1471;71;Ana Santos;Feminino;Viúvo(a);5536,68;pix;29/08/2024
t1472;72;Pedro Souza;Masculino;Solteiro(a);9206,39;pix;28/07/2024
t1473;73;Pedro Lima;Masculino;Casado(a);3623,33;saque;20/11/2024
t1474;74;Ana Almeida;Feminino;Divorciado(a);3513,16;saque;11/10/2024
t1475;75;Beatriz Nascimento;Feminino;Solteiro(a);8618,32;pix;15/09/2024
t1476;76;Carlos Almeida;Masculino;Casado(a);3768,54;pix;19/11/2024
t1477;77;Fernanda Silva;Feminino;Divorciado(a);6404,77;pix;05/11/2024
t1478;78;Fernanda Nascimento;Feminino;Solteiro(a);6640,52;saque;24/11/2024
t1479;79;Maria Oliveira;Feminino;Divorciado(a);3248,2;pix;15/12/2024
t1480;80;Maria Araújo;Feminino;Viúvo(a);9604,91;saque;09/07/2024
t1481;81;Paulo Lima;Masculino;Viúvo(a);1367,75;pix;23/11/2024
t1482;82;Camila Oliveira;Feminino;Solteiro(a);7459,19;pix;15/07/2024
t1483;83;João Santos;Masculino;Viúvo(a);3293,73;saque;13/09/2024
t1484;84;Carlos Pereira;Masculino;Solteiro(a);4167,62;pix;11/08/2024
t1485;85;Ricardo Souza;Masculino;Viúvo(a);2183,22;pix;03/11/2024
t1486;86;Fernanda Araújo;Feminino;Casado(a);1369,87;pix;05/08/2024
t1487;87;Fernanda Pereira;Feminino;Divorciado(a);8180,39;pix;23/08/2024
t1488;88;Carlos Silva;Masculino;Divorciado(a);4321,82;saque;21/08/2024
t1489;89;Fernanda Oliveira;Feminino;Divorciado(a);2937,32;pix;13/07/2024
t1490;90;Pedro Nascimento;Masculino;Solteiro(a);7952,55;pix;06/07/2024
t1491;91;Camila Lima;Feminino;Solteiro(a);5245,67;saque;24/07/2024
t1492;92;Paulo Santos;Masculino;Casado(a);7067,29;saque;04/09/2024
t1493;93;Ana Silva;Feminino;Solteiro(a);7776,95;pix;10/10/2024
t1494;94;Beatriz Silva;Feminino;Viúvo(a);3667,17;saque;04/12/2024
t1495;95;Ricardo Almeida;Masculino;Solteiro(a);6941,1;pix;18/10/2024
t1496;96;Maria Costa;Feminino;Solteiro(a);9138,77;pix;01/12/2024
t1497;97;Fernanda Lima;Feminino;Viúvo(a);5692,85;saque;13/07/2024
t1498;98;Carlos Lima;Masculino;Solteiro(a);2153,81;pix;26/08/2024
t1499;99;Camila Almeida;Feminino;Casado(a);6216,24;pix;13/11/2024
t1500;100;Pedro Oliveira;Masculino;Divorciado(a);5096,61;saque;11/09/2024
t1501;51;Maria Souza;Masculino;Divorciado(a);6640,12;saque;30/10/2024
t1502;52;Maria Pereira;Masculino;Viúvo(a);1251,33;saque;08/12/2024
t1503;53;Camila Pereira;Feminino;Viúvo(a);9997,24;pix;02/11/2024
t1504;54;Pedro Pereira;Masculino;Viúvo(a);5654,41;pix;19/10/2024
t1505;55;Ana Araújo;Feminino;Solteiro(a);2242,64;pix;26/10/2024
t1506;56;Ana Souza;Feminino;Divorciado(a);7224,18;pix;07/09/2024
t1507;57;Pedro Santos;Masculino;Solteiro(a);4162,47;pix;09/10/2024
t1508;58;Ana Nascimento;Feminino;Viúvo(a);1696,57;saque;10/11/2024
t1509;59;Paulo Souza;Masculino;Solteiro(a);4626,61;pix;15/08/2024
t1510;60;Pedro Almeida;Masculino;Viúvo(a);2511,08;pix;18/08/2024
t1511;61;Pedro Silva;Masculino;Viúvo(a);4856,81;saque;27/11/2024
t1512;62;Ricardo Araújo;Masculino;Casado(a);7862,92;pix;25/11/2024
t1513;63;João Souza;Masculino;Casado(a);8710,4;saque;19/07/2024
t1514;64;Beatriz Araújo;Feminino;Viúvo(a);9982,73;pix;09/11/2024
t1515;65;Paulo Oliveira;Masculino;Divorciado(a);4910,57;pix;17/07/2024
t1516;66;Ricardo Pereira;Masculino;Divorciado(a);8061,68;saque;17/11/2024
t1517;67;Maria Santos;Feminino;Casado(a);7073,73;saque;17/08/2024
t1518;68;Ricardo Santos;Masculino;Solteiro(a);2091,16;pix;23/07/2024
t1519;69;Beatriz Almeida;Feminino;Divorciado(a);2295,74;pix;03/12/2024
t1520;70;Camila Silva;Feminino;Casado(a);9404,2;pix;06/09/2024
t1521;71;Ana Santos;Feminino;Viúvo(a);5536,68;saque;27/11/2024
t1522;72;Pedro Souza;Masculino;Solteiro(a);9206,39;pix;26/08/2024
t1523;73;Pedro Lima;Masculino;Casado(a);3623,33;saque;02/12/2024
t1524;74;Ana Almeida;Feminino;Divorciado(a);3513,16;pix;25/08/2024
t1525;75;Beatriz Nascimento;Feminino;Solteiro(a);8618,32;saque;14/08/2024
t1526;76;Carlos Almeida;Masculino;Casado(a);3768,54;saque;05/10/2024
t1527;77;Fernanda Silva;Feminino;Divorciado(a);6404,77;saque;22/07/2024
t1528;78;Fernanda Nascimento;Feminino;Solteiro(a);6640,52;saque;09/10/2024
t1529;79;Maria Oliveira;Feminino;Divorciado(a);3248,2;pix;04/10/2024
t1530;80;Maria Araújo;Feminino;Viúvo(a);9604,91;saque;26/07/2024
t1531;81;Paulo Lima;Masculino;Viúvo(a);1367,75;pix;20/12/2024
t1532;82;Camila Oliveira;Feminino;Solteiro(a);7459,19;pix;14/09/2024
t1533;83;João Santos;Masculino;Viúvo(a);3293,73;saque;19/11/2024
t1534;84;Carlos Pereira;Masculino;Solteiro(a);4167,62;saque;28/09/2024
t1535;85;Ricardo Souza;Masculino;Viúvo(a);2183,22;saque;03/07/2024
t1536;86;Fernanda Araújo;Feminino;Casado(a);1369,87;saque;31/07/2024
t1537;87;Fernanda Pereira;Feminino;Divorciado(a);8180,39;pix;08/10/2024
t1538;88;Carlos Silva;Masculino;Divorciado(a);4321,82;saque;06/12/2024
t1539;89;Fernanda Oliveira;Feminino;Divorciado(a);2937,32;pix;30/07/2024
t1540;90;Pedro Nascimento;Masculino;Solteiro(a);7952,55;saque;15/11/2024
t1541;91;Camila Lima;Feminino;Solteiro(a);5245,67;pix;03/09/2024
t1542;92;Paulo Santos;Masculino;Casado(a);7067,29;saque;28/07/2024
t1543;93;Ana Silva;Feminino;Solteiro(a);7776,95;pix;30/11/2024
t1544;94;Beatriz Silva;Feminino;Viúvo(a);3667,17;pix;15/07/2024
t1545;95;Ricardo Almeida;Masculino;Solteiro(a);6941,1;pix;10/10/2024
t1546;96;Maria Costa;Feminino;Solteiro(a);9138,77;pix;02/07/2024
t1547;97;Fernanda Lima;Feminino;Viúvo(a);5692,85;pix;15/09/2024
t1548;98;Carlos Lima;Masculino;Solteiro(a);2153,81;saque;30/12/2024
t1549;99;Camila Almeida;Feminino;Casado(a);6216,24;saque;08/08/2024
t1550;100;Pedro Oliveira;Masculino;Divorciado(a);5096,61;saque;08/08/2024
t1551;51;Maria Souza;Masculino;Divorciado(a);6640,12;saque;28/09/2024
t1552;52;Maria Pereira;Masculino;Viúvo(a);1251,33;saque;27/08/2024
t1553;53;Camila Pereira;Feminino;Viúvo(a);9997,24;pix;03/08/2024
t1554;54;Pedro Pereira;Masculino;Viúvo(a);5654,41;saque;27/11/2024
t1555;55;Ana Araújo;Feminino;Solteiro(a);2242,64;saque;27/10/2024
t1556;56;Ana Souza;Feminino;Divorciado(a);7224,18;saque;20/11/2024
t1557;57;Pedro Santos;Masculino;Solteiro(a);4162,47;saque;06/12/2024
t1558;58;Ana Nascimento;Feminino;Viúvo(a);1696,57;pix;08/10/2024
t1559;59;Paulo Souza;Masculino;Solteiro(a);4626,61;pix;04/07/2024
t1560;60;Pedro Almeida;Masculino;Viúvo(a);2511,08;saque;03/11/2024
t1561;61;Pedro Silva;Masculino;Viúvo(a);4856,81;saque;05/11/2024
t1562;62;Ricardo Araújo;Masculino;Casado(a);7862,92;pix;08/11/2024
t1563;63;João Souza;Masculino;Casado(a);8710,4;saque;22/09/2024
t1564;64;Beatriz Araújo;Feminino;Viúvo(a);9982,73;pix;14/09/2024
t1565;65;Paulo Oliveira;Masculino;Divorciado(a);4910,57;pix;29/10/2024
t1566;66;Ricardo Pereira;Masculino;Divorciado(a);8061,68;pix;03/08/2024
t1567;67;Maria Santos;Feminino;Casado(a);7073,73;saque;18/11/2024
t1568;68;Ricardo Santos;Masculino;Solteiro(a);2091,16;saque;07/07/2024
t1569;69;Beatriz Almeida;Feminino;Divorciado(a);2295,74;saque;06/11/2024
t1570;70;Camila Silva;Feminino;Casado(a);9404,2;saque;03/09/2024
t1571;71;Ana Santos;Feminino;Viúvo(a);5536,68;saque;21/09/2024
t1572;72;Pedro Souza;Masculino;Solteiro(a);9206,39;pix;05/10/2024
t1573;73;Pedro Lima;Masculino;Casado(a);3623,33;pix;29/07/2024
t1574;74;Ana Almeida;Feminino;Divorciado(a);3513,16;saque;31/07/2024
t1575;75;Beatriz Nascimento;Feminino;Solteiro(a);8618,32;pix;11/12/2024
t1576;76;Carlos Almeida;Masculino;Casado(a);3768,54;saque;14/12/2024
t1577;77;Fernanda Silva;Feminino;Divorciado(a);6404,77;saque;14/07/2024
t1578;78;Fernanda Nascimento;Feminino;Solteiro(a);6640,52;saque;26/12/2024
t1579;79;Maria Oliveira;Feminino;Divorciado(a);3248,2;saque;14/10/2024
t1580;80;Maria Araújo;Feminino;Viúvo(a);9604,91;pix;02/09/2024
t1581;81;Paulo Lima;Masculino;Viúvo(a);1367,75;saque;14/07/2024
t1582;82;Camila Oliveira;Feminino;Solteiro(a);7459,19;pix;04/09/2024
t1583;83;João Santos;Masculino;Viúvo(a);3293,73;saque;10/12/2024
t1584;84;Carlos Pereira;Masculino;Solteiro(a);4167,62;saque;29/11/2024
t1585;85;Ricardo Souza;Masculino;Viúvo(a);2183,22;pix;17/11/2024
t1586;86;Fernanda Araújo;Feminino;Casado(a);1369,87;saque;22/07/2024
t1587;87;Fernanda Pereira;Feminino;Divorciado(a);8180,39;saque;16/10/2024
t1588;88;Carlos Silva;Masculino;Divorciado(a);4321,82;pix;03/07/2024
t1589;89;Fernanda Oliveira;Feminino;Divorciado(a);2937,32;saque;06/10/2024
t1590;90;Pedro Nascimento;Masculino;Solteiro(a);7952,55;saque;06/09/2024
t1591;91;Camila Lima;Feminino;Solteiro(a);5245,67;pix;31/12/2024
t1592;92;Paulo Santos;Masculino;Casado(a);7067,29;saque;03/08/2024
t1593;93;Ana Silva;Feminino;Solteiro(a);7776,95;saque;17/09/2024
t1594;94;Beatriz Silva;Feminino;Viúvo(a);3667,17;pix;20/08/2024
t1595;95;Ricardo Almeida;Masculino;Solteiro(a);6941,1;pix;04/09/2024
t1596;96;Maria Costa;Feminino;Solteiro(a);9138,77;pix;22/10/2024
t1597;97;Fernanda Lima;Feminino;Viúvo(a);5692,85;pix;14/11/2024
t1598;98;Carlos Lima;Masculino;Solteiro(a);2153,81;saque;19/11/2024
t1599;99;Camila Almeida;Feminino;Casado(a);6216,24;saque;12/09/2024
t1600;100;Pedro Oliveira;Masculino;Divorciado(a);5096,61;saque;17/07/2024
t1601;1;Beatriz Oliveira;Feminino;Casado(a);8413,63;saque;17/11/2024
t1602;2;Ana Costa;Feminino;Viúvo(a);4347,62;saque;12/12/2024
t1603;3;Camila Souza;Feminino;Casado(a);3075,08;saque;24/07/2024
t1604;4;Camila Costa;Feminino;Casado(a);4260,5;pix;21/11/2024
t1605;5;Beatriz Pereira;Feminino;Casado(a);3787,57;pix;03/08/2024
t1606;6;Fernanda Souza;Feminino;Solteiro(a);8483,37;pix;25/08/2024
t1607;7;Paulo Araújo;Masculino;Casado(a);6946,26;pix;14/11/2024
t1608;8;Fernanda Almeida;Feminino;Solteiro(a);9539,49;pix;06/10/2024
t1609;9;João Pereira;Masculino;Casado(a);6632,51;pix;10/07/2024
t1610;10;Carlos Souza;Masculino;Divorciado(a);6195,28;saque;27/08/2024
t1611;11;Paulo Costa;Masculino;Divorciado(a);5495,68;pix;16/12/2024
t1612;12;Carlos Costa;Masculino;Casado(a);5143,81;saque;31/12/2024
t1613;13;Ricardo Costa;Masculino;Viúvo(a);7358,74;saque;27/09/2024
t1614;14;Pedro Araújo;Masculino;Viúvo(a);8644,22;pix;28/07/2024
t1615;15;Maria Silva;Feminino;Divorciado(a);5514,13;saque;07/09/2024
t1616;16;Carlos Santos;Masculino;Casado(a);1324,58;pix;27/09/2024
t1617;17;Camila Nascimento;Masculino;Divorciado(a);2664,98;saque;05/12/2024
t1618;18;Beatriz Lima;Feminino;Casado(a);3189,75;pix;27/07/2024
t1619;19;Ricardo Silva;Masculino;Viúvo(a);3421,08;saque;06/12/2024
t1620;20;Ricardo Oliveira;Masculino;Casado(a);5586,92;pix;22/09/2024
t1621;21;Maria Nascimento;Feminino;Divorciado(a);4777,23;saque;24/11/2024
t1622;22;Beatriz Santos;Feminino;Viúvo(a);8920,4;saque;29/11/2024
t1623;23;Camila Santos;Feminino;Divorciado(a);4135,44;pix;26/08/2024
t1624;24;Beatriz Costa;Feminino;Divorciado(a);6425,75;pix;16/12/2024
t1625;25;Camila Araújo;Feminino;Divorciado(a);1446,38;saque;30/11/2024
t1626;26;Ana Pereira;Feminino;Solteiro(a);5898,85;saque;13/08/2024
t1627;27;Ana Lima;Feminino;Casado(a);9045,74;saque;04/08/2024
t1628;28;Carlos Araújo;Masculino;Divorciado(a);9133,82;pix;15/10/2024
t1629;29;Ricardo Nascimento;Masculino;Viúvo(a);3249,69;saque;08/09/2024
t1630;30;João Lima;Masculino;Solteiro(a);9251,39;pix;24/12/2024
t1631;31;Fernanda Santos;Feminino;Solteiro(a);9062,56;saque;26/07/2024
t1632;32;Ricardo Lima;Masculino;Solteiro(a);4124,23;saque;12/11/2024
t1633;33;João Silva;Masculino;Divorciado(a);4977,08;pix;20/09/2024
t1634;34;João Oliveira;Masculino;Solteiro(a);5256,48;saque;31/12/2024
t1635;35;João Almeida;Masculino;Solteiro(a);8222,99;saque;22/09/2024
t1636;36;Paulo Silva;Masculino;Casado(a);8762,13;pix;16/08/2024
t1637;37;Paulo Nascimento;Masculino;Casado(a);1335,42;pix;07/12/2024
t1638;38;Maria Almeida;Feminino;Casado(a);3826,69;pix;16/10/2024
t1639;39;Fernanda Costa;Feminino;Divorciado(a);2204,7;saque;30/10/2024
t1640;40;Beatriz Souza;Feminino;Viúvo(a);6904,35;saque;31/10/2024
t1641;41;João Nascimento;Masculino;Viúvo(a);1235,29;pix;19/12/2024
t1642;42;Paulo Almeida;Masculino;Solteiro(a);5970,13;saque;06/10/2024
t1643;43;Maria Lima;Feminino;Casado(a);3563,85;pix;21/11/2024
t1644;44;Pedro Costa;Masculino;Casado(a);4806,37;saque;10/09/2024
t1645;45;João Araújo;Masculino;Solteiro(a);2403,54;saque;17/12/2024
t1646;46;João Costa;Masculino;Viúvo(a);2885,35;saque;31/12/2024
t1647;47;Carlos Nascimento;Masculino;Divorciado(a);4353,97;saque;10/10/2024
t1648;48;Ana Oliveira;Feminino;Solteiro(a);7390,72;pix;29/09/2024
t1649;49;Carlos Oliveira;Masculino;Casado(a);3082,95;pix;22/10/2024
t1650;50;Paulo Pereira;Masculino;Viúvo(a);6501,81;saque;09/11/2024
t1651;1;Beatriz Oliveira;Feminino;Casado(a);8413,63;saque;25/07/2024
t1652;2;Ana Costa;Feminino;Viúvo(a);4347,62;pix;29/07/2024
t1653;3;Camila Souza;Feminino;Casado(a);3075,08;pix;24/12/2024
t1654;4;Camila Costa;Feminino;Casado(a);4260,5;pix;21/10/2024
t1655;5;Beatriz Pereira;Feminino;Casado(a);3787,57;pix;02/07/2024
t1656;6;Fernanda Souza;Feminino;Solteiro(a);8483,37;pix;25/07/2024
t1657;7;Paulo Araújo;Masculino;Casado(a);6946,26;saque;30/07/2024
t1658;8;Fernanda Almeida;Feminino;Solteiro(a);9539,49;pix;31/10/2024
t1659;9;João Pereira;Masculino;Casado(a);6632,51;pix;06/09/2024
t1660;10;Carlos Souza;Masculino;Divorciado(a);6195,28;saque;22/07/2024
t1661;11;Paulo Costa;Masculino;Divorciado(a);5495,68;saque;14/10/2024
t1662;12;Carlos Costa;Masculino;Casado(a);5143,81;pix;19/10/2024
t1663;13;Ricardo Costa;Masculino;Viúvo(a);7358,74;saque;15/12/2024
t1664;14;Pedro Araújo;Masculino;Viúvo(a);8644,22;pix;22/11/2024
t1665;15;Maria Silva;Feminino;Divorciado(a);5514,13;pix;23/12/2024
t1666;16;Carlos Santos;Masculino;Casado(a);1324,58;pix;08/08/2024
t1667;17;Camila Nascimento;Masculino;Divorciado(a);2664,98;pix;09/07/2024
t1668;18;Beatriz Lima;Feminino;Casado(a);3189,75;saque;16/11/2024
t1669;19;Ricardo Silva;Masculino;Viúvo(a);3421,08;pix;24/12/2024
t1670;20;Ricardo Oliveira;Masculino;Casado(a);5586,92;pix;26/10/2024
t1671;21;Maria Nascimento;Feminino;Divorciado(a);4777,23;saque;27/09/2024
t1672;22;Beatriz Santos;Feminino;Viúvo(a);8920,4;pix;27/08/2024
t1673;23;Camila Santos;Feminino;Divorciado(a);4135,44;pix;11/10/2024
t1674;24;Beatriz Costa;Feminino;Divorciado(a);6425,75;pix;05/12/2024
t1675;25;Camila Araújo;Feminino;Divorciado(a);1446,38;pix;16/07/2024
t1676;26;Ana Pereira;Feminino;Solteiro(a);5898,85;saque;22/12/2024
t1677;27;Ana Lima;Feminino;Casado(a);9045,74;saque;09/08/2024
t1678;28;Carlos Araújo;Masculino;Divorciado(a);9133,82;pix;02/07/2024
t1679;29;Ricardo Nascimento;Masculino;Viúvo(a);3249,69;saque;23/07/2024
t1680;30;João Lima;Masculino;Solteiro(a);9251,39;saque;01/11/2024
t1681;31;Fernanda Santos;Feminino;Solteiro(a);9062,56;saque;23/10/2024
t1682;32;Ricardo Lima;Masculino;Solteiro(a);4124,23;pix;15/11/2024
t1683;33;João Silva;Masculino;Divorciado(a);4977,08;pix;15/07/2024
t1684;34;João Oliveira;Masculino;Solteiro(a);5256,48;pix;15/08/2024
t1685;35;João Almeida;Masculino;Solteiro(a);8222,99;pix;02/07/2024
t1686;36;Paulo Silva;Masculino;Casado(a);8762,13;pix;08/11/2024
t1687;37;Paulo Nascimento;Masculino;Casado(a);1335,42;pix;24/07/2024
t1688;38;Maria Almeida;Feminino;Casado(a);3826,69;saque;14/07/2024
t1689;39;Fernanda Costa;Feminino;Divorciado(a);2204,7;saque;09/07/2024
t1690;40;Beatriz Souza;Feminino;Viúvo(a);6904,35;saque;26/09/2024
t1691;41;João Nascimento;Masculino;Viúvo(a);1235,29;pix;18/12/2024
t1692;42;Paulo Almeida;Masculino;Solteiro(a);5970,13;saque;16/09/2024
t1693;43;Maria Lima;Feminino;Casado(a);3563,85;pix;20/07/2024
t1694;44;Pedro Costa;Masculino;Casado(a);4806,37;saque;07/08/2024
t1695;45;João Araújo;Masculino;Solteiro(a);2403,54;pix;29/12/2024
t1696;46;João Costa;Masculino;Viúvo(a);2885,35;saque;24/09/2024
t1697;47;Carlos Nascimento;Masculino;Divorciado(a);4353,97;saque;17/09/2024
t1698;48;Ana Oliveira;Feminino;Solteiro(a);7390,72;saque;10/11/2024
t1699;49;Carlos Oliveira;Masculino;Casado(a);3082,95;saque;04/08/2024
t1700;50;Paulo Pereira;Masculino;Viúvo(a);6501,81;saque;04/12/2024
t1701;1;Beatriz Oliveira;Feminino;Casado(a);8413,63;pix;18/10/2024
t1702;2;Ana Costa;Feminino;Viúvo(a);4347,62;pix;01/07/2024
t1703;3;Camila Souza;Feminino;Casado(a);3075,08;saque;29/12/2024
t1704;4;Camila Costa;Feminino;Casado(a);4260,5;pix;08/11/2024
t1705;5;Beatriz Pereira;Feminino;Casado(a);3787,57;saque;15/10/2024
t1706;6;Fernanda Souza;Feminino;Solteiro(a);8483,37;pix;31/12/2024
t1707;7;Paulo Araújo;Masculino;Casado(a);6946,26;pix;03/09/2024
t1708;8;Fernanda Almeida;Feminino;Solteiro(a);9539,49;saque;16/12/2024
t1709;9;João Pereira;Masculino;Casado(a);6632,51;saque;22/10/2024
t1710;10;Carlos Souza;Masculino;Divorciado(a);6195,28;saque;29/08/2024
t1711;11;Paulo Costa;Masculino;Divorciado(a);5495,68;pix;31/08/2024
t1712;12;Carlos Costa;Masculino;Casado(a);5143,81;pix;03/11/2024
t1713;13;Ricardo Costa;Masculino;Viúvo(a);7358,74;pix;24/11/2024
t1714;14;Pedro Araújo;Masculino;Viúvo(a);8644,22;saque;20/11/2024
t1715;15;Maria Silva;Feminino;Divorciado(a);5514,13;pix;20/11/2024
t1716;16;Carlos Santos;Masculino;Casado(a);1324,58;saque;02/09/2024
t1717;17;Camila Nascimento;Masculino;Divorciado(a);2664,98;pix;22/07/2024
t1718;18;Beatriz Lima;Feminino;Casado(a);3189,75;saque;30/12/2024
t1719;19;Ricardo Silva;Masculino;Viúvo(a);3421,08;saque;04/07/2024
t1720;20;Ricardo Oliveira;Masculino;Casado(a);5586,92;pix;30/08/2024
t1721;21;Maria Nascimento;Feminino;Divorciado(a);4777,23;saque;03/12/2024
t1722;22;Beatriz Santos;Feminino;Viúvo(a);8920,4;pix;02/12/2024
t1723;23;Camila Santos;Feminino;Divorciado(a);4135,44;saque;18/11/2024
t1724;24;Beatriz Costa;Feminino;Divorciado(a);6425,75;saque;28/12/2024
t1725;25;Camila Araújo;Feminino;Divorciado(a);1446,38;pix;13/07/2024
t1726;26;Ana Pereira;Feminino;Solteiro(a);5898,85;saque;02/09/2024
t1727;27;Ana Lima;Feminino;Casado(a);9045,74;pix;09/09/2024
t1728;28;Carlos Araújo;Masculino;Divorciado(a);9133,82;pix;25/11/2024
t1729;29;Ricardo Nascimento;Masculino;Viúvo(a);3249,69;saque;26/11/2024
t1730;30;João Lima;Masculino;Solteiro(a);9251,39;saque;27/07/2024
t1731;31;Fernanda Santos;Feminino;Solteiro(a);9062,56;saque;21/12/2024
t1732;32;Ricardo Lima;Masculino;Solteiro(a);4124,23;saque;08/08/2024
t1733;33;João Silva;Masculino;Divorciado(a);4977,08;saque;16/11/2024
t1734;34;João Oliveira;Masculino;Solteiro(a);5256,48;saque;02/11/2024
t1735;35;João Almeida;Masculino;Solteiro(a);8222,99;saque;15/08/2024
t1736;36;Paulo Silva;Masculino;Casado(a);8762,13;saque;09/12/2024
t1737;37;Paulo Nascimento;Masculino;Casado(a);1335,42;pix;18/09/2024
t1738;38;Maria Almeida;Feminino;Casado(a);3826,69;pix;30/12/2024
t1739;39;Fernanda Costa;Feminino;Divorciado(a);2204,7;saque;20/12/2024
t1740;40;Beatriz Souza;Feminino;Viúvo(a);6904,35;pix;27/08/2024
t1741;41;João Nascimento;Masculino;Viúvo(a);1235,29;saque;30/10/2024
t1742;42;Paulo Almeida;Masculino;Solteiro(a);5970,13;saque;15/09/2024
t1743;43;Maria Lima;Feminino;Casado(a);3563,85;pix;19/08/2024
t1744;44;Pedro Costa;Masculino;Casado(a);4806,37;saque;03/09/2024
t1745;45;João Araújo;Masculino;Solteiro(a);2403,54;pix;21/07/2024
t1746;46;João Costa;Masculino;Viúvo(a);2885,35;pix;14/12/2024
